commercial_area_code,commercial_area_name,business_type,day_of_week,quarter_count,total_transactions,weekday_transactions,weekday_days,weekday_daily_average,weekly_daily_average,day_index,day_weight
3001493,동대문패션타운 관광특구,CAFE_BEVERAGE,THURSDAY,12,4101535,685597,156,4394.8526,3741.6559,117.46,3
3001493,동대문패션타운 관광특구,CAFE_BEVERAGE,FRIDAY,12,4101535,560770,156,3594.6795,3741.6559,96.07,-1
3001493,동대문패션타운 관광특구,CAFE_BEVERAGE,SATURDAY,12,4101535,398635,156,2555.3526,3741.6559,68.29,-6
3001493,동대문패션타운 관광특구,CAFE_BEVERAGE,SUNDAY,12,4101535,471394,157,3002.5096,3741.6559,80.25,-4
3001493,동대문패션타운 관광특구,BAKERY,MONDAY,12,401183,63971,157,407.4586,366.0907,111.3,2
3001493,동대문패션타운 관광특구,BAKERY,TUESDAY,12,401183,70263,157,447.535,366.0907,122.25,4
3001493,동대문패션타운 관광특구,BAKERY,WEDNESDAY,12,401183,68909,157,438.9108,366.0907,119.89,4
3001493,동대문패션타운 관광특구,BAKERY,THURSDAY,12,401183,70688,156,453.1282,366.0907,123.77,5
3001493,동대문패션타운 관광특구,BAKERY,FRIDAY,12,401183,65235,156,418.1731,366.0907,114.23,3
3001493,동대문패션타운 관광특구,BAKERY,SATURDAY,12,401183,43578,156,279.3462,366.0907,76.31,-5
3001493,동대문패션타운 관광특구,BAKERY,SUNDAY,12,401183,18539,157,118.0828,366.0907,32.26,-6
3001494,종로·청계 관광특구,KOREAN_FOOD,MONDAY,12,13077830,1831348,157,11664.6369,11935.2179,97.73,0
3001494,종로·청계 관광특구,KOREAN_FOOD,TUESDAY,12,13077830,1942318,157,12371.4522,11935.2179,103.66,1
3001494,종로·청계 관광특구,KOREAN_FOOD,WEDNESDAY,12,13077830,1973347,157,12569.0892,11935.2179,105.31,1
3001494,종로·청계 관광특구,KOREAN_FOOD,THURSDAY,12,13077830,2002425,156,12836.0577,11935.2179,107.55,2
3001494,종로·청계 관광특구,KOREAN_FOOD,FRIDAY,12,13077830,2157837,156,13832.2885,11935.2179,115.89,3
3001494,종로·청계 관광특구,KOREAN_FOOD,SATURDAY,12,13077830,1919755,156,12306.1218,11935.2179,103.11,1
3001494,종로·청계 관광특구,KOREAN_FOOD,SUNDAY,12,13077830,1250800,157,7966.879,11935.2179,66.75,-6
3001494,종로·청계 관광특구,CHINESE_FOOD,MONDAY,12,1376101,188336,157,1199.5924,1255.7278,95.53,-1
3001494,종로·청계 관광특구,CHINESE_FOOD,TUESDAY,12,1376101,208225,157,1326.2739,1255.7278,105.62,1
3001494,종로·청계 관광특구,CHINESE_FOOD,WEDNESDAY,12,1376101,212423,157,1353.0127,1255.7278,107.75,2
3001494,종로·청계 관광특구,CHINESE_FOOD,THURSDAY,12,1376101,211896,156,1358.3077,1255.7278,108.17,2
3001494,종로·청계 관광특구,CHINESE_FOOD,FRIDAY,12,1376101,224652,156,1440.0769,1255.7278,114.68,3
3001494,종로·청계 관광특구,CHINESE_FOOD,SATURDAY,12,1376101,178689,156,1145.4423,1255.7278,91.22,-2
3001494,종로·청계 관광특구,CHINESE_FOOD,SUNDAY,12,1376101,151880,157,967.3885,1255.7278,77.04,-5
3001494,종로·청계 관광특구,JAPANESE_FOOD,MONDAY,12,788556,127685,157,813.2803,719.5519,113.03,3
