commercial_area_code,business_type,day_of_week,weight
3110008,KOREAN_FOOD,SATURDAY,-1
3110008,KOREAN_FOOD,SUNDAY,-1
3110008,JAPANESE_FOOD,MONDAY,-6
3110008,JAPANESE_FOOD,TUESDAY,6
3110008,JAPANESE_FOOD,WEDNESDAY,3
3110008,JAPANESE_FOOD,THURSDAY,3
3110008,JAPANESE_FOOD,FRIDAY,4
3110008,JAPANESE_FOOD,SATURDAY,2
3110008,JAPANESE_FOOD,SUNDAY,-4
3110008,WESTERN_FOOD,MONDAY,-6
3110008,WESTERN_FOOD,TUESDAY,-5
3110008,WESTERN_FOOD,WEDNESDAY,-1
3110008,WESTERN_FOOD,THURSDAY,-1
3110008,WESTERN_FOOD,FRIDAY,2
3110008,WESTERN_FOOD,SATURDAY,6
3110008,WESTERN_FOOD,SUNDAY,4
3110008,BUNSIK,MONDAY,-6
3110008,BUNSIK,TUESDAY,-1
3110008,BUNSIK,WEDNESDAY,-1
3110008,BUNSIK,THURSDAY,-3
3110008,BUNSIK,FRIDAY,3
3110008,BUNSIK,SATURDAY,6
3110008,BUNSIK,SUNDAY,0
3110008,CAFE_BEVERAGE,MONDAY,-4
3110008,CAFE_BEVERAGE,TUESDAY,-1
3110008,CAFE_BEVERAGE,WEDNESDAY,0
3110008,CAFE_BEVERAGE,THURSDAY,-1
3110008,CAFE_BEVERAGE,FRIDAY,0
3110008,CAFE_BEVERAGE,SATURDAY,5
3110008,CAFE_BEVERAGE,SUNDAY,2
3110008,BAKERY,MONDAY,-6
3110008,BAKERY,TUESDAY,1
3110008,BAKERY,WEDNESDAY,1
3110008,BAKERY,THURSDAY,1
3110008,BAKERY,FRIDAY,1
3110008,BAKERY,SATURDAY,6
3110008,BAKERY,SUNDAY,3
3110009,KOREAN_FOOD,MONDAY,-6
3110009,KOREAN_FOOD,TUESDAY,-5
3110009,KOREAN_FOOD,WEDNESDAY,-1
3110009,KOREAN_FOOD,THURSDAY,-1
3110009,KOREAN_FOOD,FRIDAY,1
3110009,KOREAN_FOOD,SATURDAY,6
3110009,KOREAN_FOOD,SUNDAY,5
3110009,WESTERN_FOOD,MONDAY,-6
3110009,WESTERN_FOOD,TUESDAY,-6
3110009,WESTERN_FOOD,WEDNESDAY,-4
3110009,WESTERN_FOOD,THURSDAY,-4
3110009,WESTERN_FOOD,FRIDAY,0
3110009,WESTERN_FOOD,SATURDAY,6
3110009,WESTERN_FOOD,SUNDAY,6
3110009,CAFE_BEVERAGE,MONDAY,-6
3110009,CAFE_BEVERAGE,TUESDAY,-6
3110009,CAFE_BEVERAGE,WEDNESDAY,-2
3110009,CAFE_BEVERAGE,THURSDAY,-3
3110009,CAFE_BEVERAGE,FRIDAY,2
3110009,CAFE_BEVERAGE,SATURDAY,6
3110009,CAFE_BEVERAGE,SUNDAY,6
3110010,BUNSIK,MONDAY,5
3110010,BUNSIK,TUESDAY,0
3110010,BUNSIK,WEDNESDAY,4
3110010,BUNSIK,THURSDAY,3
3110010,BUNSIK,FRIDAY,4
3110010,BUNSIK,SATURDAY,-2
3110010,BUNSIK,SUNDAY,-6
3110010,BAKERY,MONDAY,-1
3110010,BAKERY,TUESDAY,-3
3110010,BAKERY,WEDNESDAY,2
3110010,BAKERY,THURSDAY,0
3110010,BAKERY,FRIDAY,0
3110010,BAKERY,SATURDAY,2
3110010,BAKERY,SUNDAY,0
3110012,KOREAN_FOOD,MONDAY,1
3110012,KOREAN_FOOD,TUESDAY,2
3110012,KOREAN_FOOD,WEDNESDAY,2
3110012,KOREAN_FOOD,THURSDAY,2
3110012,KOREAN_FOOD,FRIDAY,3
3110012,KOREAN_FOOD,SATURDAY,-4
3110012,KOREAN_FOOD,SUNDAY,-6
3110012,JAPANESE_FOOD,MONDAY,-2
3110012,JAPANESE_FOOD,TUESDAY,1
3110012,JAPANESE_FOOD,WEDNESDAY,2
3110012,JAPANESE_FOOD,THURSDAY,3
3110012,JAPANESE_FOOD,FRIDAY,5
3110012,JAPANESE_FOOD,SATURDAY,-2
3110012,JAPANESE_FOOD,SUNDAY,-6
3110012,WESTERN_FOOD,MONDAY,-1
3110012,WESTERN_FOOD,TUESDAY,3
3110012,WESTERN_FOOD,WEDNESDAY,4
3110012,WESTERN_FOOD,THURSDAY,3
3110012,WESTERN_FOOD,FRIDAY,5
3110012,WESTERN_FOOD,SATURDAY,-5
3110012,WESTERN_FOOD,SUNDAY,-6
3110012,CAFE_BEVERAGE,MONDAY,-1
3110012,CAFE_BEVERAGE,TUESDAY,1
3110012,CAFE_BEVERAGE,WEDNESDAY,3
3110012,CAFE_BEVERAGE,THURSDAY,2
3110012,CAFE_BEVERAGE,FRIDAY,3
3110012,CAFE_BEVERAGE,SATURDAY,-3
3110012,CAFE_BEVERAGE,SUNDAY,-5
3110013,CAFE_BEVERAGE,MONDAY,-6
3110013,CAFE_BEVERAGE,TUESDAY,-2
3110013,CAFE_BEVERAGE,WEDNESDAY,-2
3110013,CAFE_BEVERAGE,THURSDAY,-2
3110013,CAFE_BEVERAGE,FRIDAY,1
3110013,CAFE_BEVERAGE,SATURDAY,6
3110013,CAFE_BEVERAGE,SUNDAY,5
3110014,KOREAN_FOOD,MONDAY,0
3110014,KOREAN_FOOD,TUESDAY,2
3110014,KOREAN_FOOD,WEDNESDAY,1
3110014,KOREAN_FOOD,THURSDAY,2
3110014,KOREAN_FOOD,FRIDAY,0
3110014,KOREAN_FOOD,SATURDAY,-2
3110014,KOREAN_FOOD,SUNDAY,-3
3110015,WESTERN_FOOD,MONDAY,-6
3110015,WESTERN_FOOD,TUESDAY,0
3110015,WESTERN_FOOD,WEDNESDAY,3
3110015,WESTERN_FOOD,THURSDAY,5
3110015,WESTERN_FOOD,FRIDAY,6
3110015,WESTERN_FOOD,SATURDAY,6
3110015,WESTERN_FOOD,SUNDAY,-6
3110015,CAFE_BEVERAGE,MONDAY,-1
3110015,CAFE_BEVERAGE,TUESDAY,-2
3110015,CAFE_BEVERAGE,WEDNESDAY,-3
3110015,CAFE_BEVERAGE,THURSDAY,-1
3110015,CAFE_BEVERAGE,FRIDAY,1
3110015,CAFE_BEVERAGE,SATURDAY,5
3110015,CAFE_BEVERAGE,SUNDAY,0
3110016,KOREAN_FOOD,MONDAY,-3
3110016,KOREAN_FOOD,TUESDAY,-3
3110016,KOREAN_FOOD,WEDNESDAY,-3
3110016,KOREAN_FOOD,THURSDAY,-3
3110016,KOREAN_FOOD,FRIDAY,-3
3110016,KOREAN_FOOD,SATURDAY,6
3110016,KOREAN_FOOD,SUNDAY,6
3110016,CAFE_BEVERAGE,MONDAY,0
3110016,CAFE_BEVERAGE,TUESDAY,-4
3110016,CAFE_BEVERAGE,WEDNESDAY,-5
3110016,CAFE_BEVERAGE,THURSDAY,-3
3110016,CAFE_BEVERAGE,FRIDAY,-4
